label,year,month,Transport_tonnage,number_parcels,Number_companies_1,Number_companies_2
2002/4/1,2002,4,5933686,218721,26,20
2002/5/1,2002,5,5474539,208283,26,20
2002/6/1,2002,6,5430018,218633,26,20
2002/7/1,2002,7,6345951,271764,26,20
2002/8/1,2002,8,5354671,217650,26,20
2002/9/1,2002,9,5593060,213297,26,20
2002/10/1,2002,10,6111960,211759,26,20
2002/11/1,2002,11,6055081,232166,26,20
2002/12/1,2002,12,6723610,333560,26,20
2003/1/1,2003,1,4901356,179642,26,20
2003/2/1,2003,2,5138453,194354,26,20
2003/3/1,2003,3,5943947,213650,26,20
2003/4/1,2003,4,5822850,208347,26,20
2003/5/1,2003,5,5447686,205098,26,20
2003/6/1,2003,6,5560955,209402,26,20
2003/7/1,2003,7,6522284,261461,26,20
2003/8/1,2003,8,5469236,210699,26,20
2003/9/1,2003,9,6051567,218520,26,20
2003/10/1,2003,10,6591603,221518,26,20
2003/11/1,2003,11,6050395,229904,26,20
2003/12/1,2003,12,7346812,341421,26,20
2004/1/1,2004,1,5294332,187672,26,20
2004/2/1,2004,2,5447102,201946,26,20
2004/3/1,2004,3,6586014,225803,26,20
2004/4/1,2004,4,6305511,220327,32,20
2004/5/1,2004,5,5342156,202995,32,20
2004/6/1,2004,6,6057296,218952,32,20
2004/7/1,2004,7,6615279,266734,32,20
2004/8/1,2004,8,5649471,218056,32,20
2004/9/1,2004,9,6087261,218054,32,20
2004/10/1,2004,10,6207107,221591,32,20
2004/11/1,2004,11,6518803,240579,32,20
2004/12/1,2004,12,7328874,340859,32,20
2005/1/1,2005,1,5236281,194895,32,20
2005/2/1,2005,2,5458586,200323,32,19
2005/3/1,2005,3,6664885,227753,32,19
2005/4/1,2005,4,6312553,226314,32,19
2005/5/1,2005,5,5531004,210476,32,19
2005/6/1,2005,6,6147367,227642,32,19
2005/7/1,2005,7,6393864,270866,32,19
2005/8/1,2005,8,5903956,228140,32,19
2005/9/1,2005,9,6138546,226666,32,19
2005/10/1,2005,10,6260882,230682,32,19
2005/11/1,2005,11,6605742,248026,32,19
2005/12/1,2005,12,7433294,352314,32,19
2006/1/1,2006,1,5299099,201724,32,19
2006/2/1,2006,2,5620965,209494,32,19
2006/3/1,2006,3,6802442,236310,32,19
2006/4/1,2006,4,6280960,231046,32,19
2006/5/1,2006,5,5778615,219553,32,19
2006/6/1,2006,6,6269046,236443,32,19
2006/7/1,2006,7,6455123,274781,32,19
2006/8/1,2006,8,6029571,229068,32,19
2006/9/1,2006,9,6189502,237901,32,19
2006/10/1,2006,10,6494711,240440,32,19
2006/11/1,2006,11,6637922,253981,32,19
2006/12/1,2006,12,7459411,358007,32,19
2007/1/1,2007,1,5321854,207108,32,19
2007/2/1,2007,2,5590268,218083,32,19
2007/3/1,2007,3,6629530,243169,32,19
2007/4/1,2007,4,6218118,239338,32,19
2007/5/1,2007,5,5911730,229080,32,19
2007/6/1,2007,6,6146017,247159,32,19
2007/7/1,2007,7,6794176,318672,26,20
2007/8/1,2007,8,5970042,235413,32,19
2007/9/1,2007,9,5879867,236726,32,19
2007/10/1,2007,10,6648094,246226,32,19
2007/11/1,2007,11,6652081,280102,32,19
2007/12/1,2007,12,7283699,361038,32,19
2008/1/1,2008,1,5277228,207073,32,19
2008/2/1,2008,2,5810999,229314,32,19
2008/3/1,2008,3,6426730,244889,32,19
2008/4/1,2008,4,6370791,260205,26,20
2008/5/1,2008,5,5811690,254397,26,20
2008/6/1,2008,6,6061939,268921,26,20
2008/7/1,2008,7,6794176,318672,26,20
2008/8/1,2008,8,5562176,253399,26,20
2008/9/1,2008,9,6079007,261937,26,20
2008/10/1,2008,10,6408825,266266,26,20
2008/11/1,2008,11,5818078,272448,26,20
2008/12/1,2008,12,6748732,391400,26,20
2009/1/1,2009,1,4748705,219210,26,20
2009/2/1,2009,2,4717739,229458,26,20
2009/3/1,2009,3,5526081,247567,26,20
2009/4/1,2009,4,5616000,241802,27,20
2009/5/1,2009,5,4867963,232571,27,19
2009/6/1,2009,6,5528630,256508,27,19
2009/7/1,2009,7,6046458,294382,27,19
2009/8/1,2009,8,5104261,241817,27,19
2009/9/1,2009,9,5555769,243061,27,19
2009/10/1,2009,10,6178744,247640,27,19
2009/11/1,2009,11,6050900,270246,27,19
2009/12/1,2009,12,7032421,373514,27,19
2010/1/1,2010,1,5051341,223997,27,19
2010/2/1,2010,2,5310876,233832,27,19
2010/3/1,2010,3,6369408,255847,27,19
2010/4/1,2010,4,5897429,252078,27,18
2010/5/1,2010,5,5067009,239665,27,18
2010/6/1,2010,6,5705853,257629,27,18
2010/7/1,2010,7,5898707,305224,26,17
2010/8/1,2010,8,5243940,251411,26,17
2010/9/1,2010,9,5523589,243679,26,17
2010/10/1,2010,10,5642530,255897,26,17
2010/11/1,2010,11,5933150,282964,26,17
2010/12/1,2010,12,6582530,387869,26,17
2011/1/1,2011,1,4845507,234495,26,17
2011/2/1,2011,2,5130619,240274,26,17
2011/3/1,2011,3,5766816,247002,26,17
2011/4/1,2011,4,5500301,262832,26,17
2011/5/1,2011,5,4902445,253808,26,17
2011/6/1,2011,6,5510280,274715,26,17
2011/7/1,2011,7,5746980,316442,26,17
2011/8/1,2011,8,5339147,265862,26,17
2011/9/1,2011,9,5420928,258355,26,17
2011/10/1,2011,10,5639320,269610,26,17
2011/11/1,2011,11,5792068,289295,26,17
2011/12/1,2011,12,6440358,401312,26,17
2012/1/1,2012,1,4772582,248651,26,17
2012/2/1,2012,2,5235753,252829,26,17
2012/3/1,2012,3,5944862,271230,26,17
2012/4/1,2012,4,5621263,278237,26,17
2012/5/1,2012,5,5261971,266023,26,17
2012/6/1,2012,6,5433161,289393,26,17
2012/7/1,2012,7,5865552,328105,26,17
2012/8/1,2012,8,5292005,270554,26,17
2012/9/1,2012,9,5259765,267143,26,17
2012/10/1,2012,10,5868428,282047,25,17
2012/11/1,2012,11,5710016,314418,24,14
2012/12/1,2012,12,6406121,409118,24,14
2013/1/1,2013,1,4829940,244334,24,14
2013/2/1,2013,2,4745933,261339,24,14
2013/3/1,2013,3,5543687,273382,24,14
2013/4/1,2013,4,5528234,284550,24,14
2013/5/1,2013,5,5138803,273725,24,14
2013/6/1,2013,6,5106723,289153,24,14
2013/7/1,2013,7,5886271,335000,24,14
2013/8/1,2013,8,5008637,274574,24,14
2013/9/1,2013,9,5194439,274118,24,14
2013/10/1,2013,10,5776999,284217,24,14
2013/11/1,2013,11,5710016,314418,24,14
2013/12/1,2013,12,6116617,416713,24,14
2014/1/1,2014,1,4918131,256658,24,14
2014/2/1,2014,2,5142128,264951,24,14
2014/3/1,2014,3,6101874,304463,24,14
2014/4/1,2014,4,5321667,277649,24,14
2014/5/1,2014,5,4907755,273412,24,14
2014/6/1,2014,6,5119536,292438,24,14
2014/7/1,2014,7,5699693,329521,24,14
2014/8/1,2014,8,5354671,271764,24,14
2014/9/1,2014,9,5274112,281335,24,14
2014/10/1,2014,10,5624019,288306,24,14
2014/11/1,2014,11,5248881,304774,24,14
2014/12/1,2014,12,6180231,415938,24,14
2015/1/1,2015,1,4728675,258318,24,14
2015/2/1,2015,2,4812178,265789,24,14
2015/3/1,2015,3,5601338,287882,24,14
2015/4/1,2015,4,5427968,285248,24,14
2015/5/1,2015,5,4692879,277385,24,14
2015/6/1,2015,6,5289893,303955,24,14
2015/7/1,2015,7,5724606,340242,24,14
2015/8/1,2015,8,4820532,289224,24,14
2015/9/1,2015,9,5167866,287586,24,14
2015/10/1,2015,10,5582381,298916,24,14
2015/11/1,2015,11,5389483,320873,24,14
2015/12/1,2015,12,6146633,421454,24,14
2016/1/1,2016,1,4635633,274211,24,14
2016/2/1,2016,2,4988019,282622,24,14
2016/3/1,2016,3,5761231,304583,24,14
2016/4/1,2016,4,5495523,304646,24,14
2016/5/1,2016,5,4881087,292068,24,14
2016/6/1,2016,6,5397505,313516,24,14
2016/7/1,2016,7,5637231,352903,24,14
2016/8/1,2016,8,5164129,300197,24,14
2016/9/1,2016,9,5371027,300582,24,14
2016/10/1,2016,10,5498887,328404,24,14
2016/11/1,2016,11,5783323,352144,24,14
2016/12/1,2016,12,6348507,463189,24,14
2017/1/1,2017,1,4845164,307987,24,14
2017/2/1,2017,2,5050211,306352,24,14
2017/3/1,2017,3,5994414,334903,24,14
2017/4/1,2017,4,5525934,333865,24,14
2017/5/1,2017,5,5203034,326216,24,14
2017/6/1,2017,6,5597770,348043,24,14
2017/7/1,2017,7,5771148,385056,24,14
2017/8/1,2017,8,5280022,324494,24,14
2017/9/1,2017,9,5455939,332762,24,14
2017/10/1,2017,10,5747005,341417,24,14
2017/11/1,2017,11,5871162,358590,24,14
2017/12/1,2017,12,6418123,466825,24,14
2018/1/1,2018,1,4798535,309432,24,14
2018/2/1,2018,2,4964518,306737,24,14
2018/3/1,2018,3,5958932,338851,24,14
2018/4/1,2018,4,5497729,327198,24,14
2018/5/1,2018,5,5220074,339364,24,14
2018/6/1,2018,6,5409298,346286,24,14
2018/7/1,2018,7,5847693,390569,24,14
2018/8/1,2018,8,5215129,333511,24,14
2018/9/1,2018,9,5150226,319226,24,14
2018/10/1,2018,10,5918918,360103,24,14
2018/11/1,2018,11,5895835,370113,24,14
2018/12/1,2018,12,6227936,461691,24,14
2019/1/1,2019,1,4855543,319995,24,14
2019/2/1,2019,2,4971787,306194,24,14
2019/3/1,2019,3,5622842,349174,24,14
2019/4/1,2019,4,5601729,341192,24,14
2019/5/1,2019,5,5015036,333709,24,14
2019/6/1,2019,6,5120320,339789,24,14
2019/7/1,2019,7,5898468,397838,24,14
2019/8/1,2019,8,4911540,327487,24,14
2019/9/1,2019,9,5403846,347269,24,14
2019/10/1,2019,10,5491067,343816,24,14
2019/11/1,2019,11,5504260,361227,24,14
2019/12/1,2019,12,6074691,458841,24,14
2020/1/1,2020,1,4748950,324159,24,14
2020/2/1,2020,2,4833970,315034,24,14
2020/3/1,2020,3,5578303,368025,24,14
2020/4/1,2020,4,5348972,377206,24,14
2020/5/1,2020,5,4555548,381322,24,14
2020/6/1,2020,6,5238017,399727,24,14
2020/7/1,2020,7,5573242,430533,24,14
2020/8/1,2020,8,4706799,368312,24,14
2020/9/1,2020,9,5154707,367354,24,14
2020/10/1,2020,10,5618684,386172,24,14
2020/11/1,2020,11,5528217,398659,24,14
2020/12/1,2020,12,6376479,518682,24,14
2021/1/1,2021,1,4858330,362093,24,14
2021/2/1,2021,2,4936844,345708,24,14
2021/3/1,2021,3,5979642,415780,24,14
2021/4/1,2021,4,5682140,387367,24,14
2021/5/1,2021,5,4975793,375965,24,14
2021/6/1,2021,6,5617425,410758,24,14
2021/7/1,2021,7,5771805,426318,24,14
2021/8/1,2021,8,5007618,372577,24,14
2021/9/1,2021,9,5413760,390305,24,14
2021/10/1,2021,10,5519032,382535,24,14
2021/11/1,2021,11,5848420,419777,24,14
2021/12/1,2021,12,6493955,523644,24,14
2022/1/1,2022,1,5062893,377708,24,14
2022/2/1,2022,2,5053953,355383,24,14
2022/3/1,2022,3,6118588,426615,24,14
2022/4/1,2022,4,5727532,387559,24,14
2022/5/1,2022,5,5102766,380692,24,14
2022/6/1,2022,6,5723215,411429,24,14
2022/7/1,2022,7,5868447,440343,24,14
