month,monthly_cases_all,monthly_prefecture_total,all_minus_prefecture_total,daily_rows,last_daily_date,covid_period,cases_exog,log1p_cases,log1p_cases_lag0,log1p_cases_lag1
2020-01,14,14,0,16,2020-01-31,False,0,0.0,0.0,0.0
2020-02,213,213,0,29,2020-02-29,False,0,0.0,0.0,0.0
2020-03,1936,1936,0,31,2020-03-31,True,1936,7.5688956634069955,7.5688956634069955,0.0
2020-04,11952,11952,0,30,2020-04-30,True,11952,9.38873757187798,9.38873757187798,7.5688956634069955
2020-05,2439,2439,0,31,2020-05-31,True,2439,7.799753318287247,7.799753318287247,9.38873757187798
2020-06,1741,1741,0,30,2020-06-30,True,1741,7.462789157412448,7.462789157412448,7.799753318287247
2020-07,17379,17379,0,31,2020-07-31,True,17379,9.763075398819383,9.763075398819383,7.462789157412448
2020-08,31950,31950,0,31,2020-08-31,True,31950,10.37195875822042,10.37195875822042,9.763075398819383
2020-09,15031,15031,0,30,2020-09-30,True,15031,9.617936541093302,9.617936541093302,10.37195875822042
2020-10,17528,17528,0,31,2020-10-31,True,17528,9.771611931222546,9.771611931222546,9.617936541093302
2020-11,47153,47153,0,30,2020-11-30,True,47153,10.76117412009423,10.76117412009423,9.771611931222546
2020-12,86596,86596,0,31,2020-12-31,True,86596,11.369020451918145,11.369020451918145,10.76117412009423
2021-01,154777,154777,0,31,2021-01-31,True,154777,11.949747111174872,11.949747111174872,11.369020451918145
2021-02,41824,41824,0,28,2021-02-28,True,41824,10.641249525855025,10.641249525855025,11.949747111174872
2021-03,42286,42286,0,31,2021-03-31,True,42286,10.652234989194055,10.652234989194055,10.641249525855025
2021-04,117400,117400,0,30,2021-04-30,True,117400,11.67335070422742,11.67335070422742,10.652234989194055
2021-05,153565,153565,0,31,2021-05-31,True,153565,11.941885721026592,11.941885721026592,11.67335070422742
2021-06,52939,52939,0,30,2021-06-30,True,52939,10.876914475781092,10.876914475781092,11.941885721026592
2021-07,126664,126664,0,31,2021-07-31,True,126664,11.749301085053157,11.749301085053157,10.876914475781092
2021-08,567485,567485,0,31,2021-08-31,True,567485,13.248971358429872,13.248971358429872,11.749301085053157
2021-09,210043,210043,0,30,2021-09-30,True,210043,12.255072311562081,12.255072311562081,13.248971358429872
2021-10,17237,17237,0,31,2021-10-31,True,17237,9.754871528207344,9.754871528207344,12.255072311562081
2021-11,4307,4307,0,30,2021-11-30,True,4307,8.36822903827628,8.36822903827628,9.754871528207344
2021-12,5683,5683,0,31,2021-12-31,True,5683,8.64541048921699,8.64541048921699,8.36822903827628
2022-01,1032794,1032794,0,31,2022-01-31,True,1032794,13.847779277294485,13.847779277294485,8.64541048921699
2022-02,2224184,2224184,0,28,2022-02-28,True,2224184,14.614901114346296,14.614901114346296,13.847779277294485
2022-03,1534671,1534671,0,31,2022-03-31,True,1534671,14.243827235388684,14.243827235388684,14.614901114346296
2022-04,1307011,1307011,0,30,2022-04-30,True,1307011,14.083254173895504,14.083254173895504,14.243827235388684
2022-05,965956,965956,0,31,2022-05-31,True,965956,13.780874598746344,13.780874598746344,14.083254173895504
2022-06,478487,478487,0,30,2022-06-30,True,478487,13.078386411190772,13.078386411190772,13.780874598746344
2022-07,3464083,3464083,0,31,2022-07-31,True,3464083,15.057958797793082,15.057958797793082,13.078386411190772
2022-08,6181276,6181276,0,31,2022-08-31,True,6181276,15.637035442392154,15.637035442392154,15.057958797793082
2022-09,2322966,2322966,0,30,2022-09-30,True,2322966,14.65835580588324,14.65835580588324,15.637035442392154
2022-10,1030004,1030004,0,31,2022-10-31,True,1030004,13.845074214562969,13.845074214562969,14.65835580588324
2022-11,2482001,2482001,0,30,2022-11-30,True,2482001,14.724576050548137,14.724576050548137,13.845074214562969
2022-12,4415616,4415616,0,31,2022-12-31,True,4415616,15.300658133105335,15.300658133105335,14.724576050548137
2023-01,3308881,3308881,0,31,2023-01-31,True,3308881,15.012120925947567,15.012120925947567,15.300658133105335
2023-02,666637,666637,0,28,2023-02-28,True,666637,13.410002448931584,13.410002448931584,15.012120925947567
2023-03,249322,249322,0,31,2023-03-31,True,249322,12.426504523579418,12.426504523579418,13.410002448931584
2023-04,264713,264713,0,30,2023-04-30,True,264713,12.486405276880786,12.486405276880786,12.426504523579418
2023-05,81654,81654,0,8,2023-05-08,True,81654,11.310258333510843,11.310258333510843,12.486405276880786
