label,year,month,Transport_tonnage,number_parcels,post_stat_change
2002/4/1,2002,4,5933686,218721,0 
2002/5/1,2002,5,5474539,208283,0 
2002/6/1,2002,6,5430018,218633,0 
2002/7/1,2002,7,6345951,271764,0 
2002/8/1,2002,8,5354671,217650,0 
2002/9/1,2002,9,5593060,213297,0 
2002/10/1,2002,10,6111960,211759,0 
2002/11/1,2002,11,6055081,232166,0 
2002/12/1,2002,12,6723610,333560,0 
2003/1/1,2003,1,4901356,179642,0 
2003/2/1,2003,2,5138453,194354,0 
2003/3/1,2003,3,5943947,213650,0 
2003/4/1,2003,4,5822850,208347,0 
2003/5/1,2003,5,5447686,205098,0 
2003/6/1,2003,6,5560955,209402,0 
2003/7/1,2003,7,6522284,261461,0 
2003/8/1,2003,8,5469236,210699,0 
2003/9/1,2003,9,6051567,218520,0 
2003/10/1,2003,10,6591603,221518,0 
2003/11/1,2003,11,6050395,229904,0 
2003/12/1,2003,12,7346812,341421,0 
2004/1/1,2004,1,5294332,187672,0 
2004/2/1,2004,2,5447102,201946,0 
2004/3/1,2004,3,6586014,225803,0 
2004/4/1,2004,4,6305511,220327,0 
2004/5/1,2004,5,5342156,202995,0 
2004/6/1,2004,6,6057296,218952,0 
2004/7/1,2004,7,6615279,266734,0 
2004/8/1,2004,8,5649471,218056,0 
2004/9/1,2004,9,6087261,218054,0 
2004/10/1,2004,10,6207107,221591,0 
2004/11/1,2004,11,6518803,240579,0 
2004/12/1,2004,12,7328874,340859,0 
2005/1/1,2005,1,5236281,194895,0 
2005/2/1,2005,2,5458586,200323,0 
2005/3/1,2005,3,6664885,227753,0 
2005/4/1,2005,4,6312553,226314,0 
2005/5/1,2005,5,5531004,210476,0 
2005/6/1,2005,6,6147367,227642,0 
2005/7/1,2005,7,6393864,270866,0 
2005/8/1,2005,8,5903956,228140,0 
2005/9/1,2005,9,6138546,226666,0 
2005/10/1,2005,10,6260882,230682,0 
2005/11/1,2005,11,6605742,248026,0 
2005/12/1,2005,12,7433294,352314,0 
2006/1/1,2006,1,5299099,201724,0 
2006/2/1,2006,2,5620965,209494,0 
2006/3/1,2006,3,6802442,236310,0 
2006/4/1,2006,4,6280960,231046,0 
2006/5/1,2006,5,5778615,219553,0 
2006/6/1,2006,6,6269046,236443,0 
2006/7/1,2006,7,6455123,274781,0 
2006/8/1,2006,8,6029571,229068,0 
2006/9/1,2006,9,6189502,237901,0 
2006/10/1,2006,10,6494711,240440,0 
2006/11/1,2006,11,6637922,253981,0 
2006/12/1,2006,12,7459411,358007,0 
2007/1/1,2007,1,5321854,207108,0 
2007/2/1,2007,2,5590268,218083,0 
2007/3/1,2007,3,6629530,243169,0 
2007/4/1,2007,4,6218118,239338,0 
2007/5/1,2007,5,5911730,229080,0 
2007/6/1,2007,6,6146017,247159,0 
2007/7/1,2007,7,6794176,318672,0 
2007/8/1,2007,8,5970042,235413,0 
2007/9/1,2007,9,5879867,236726,0 
2007/10/1,2007,10,6648094,246226,0 
2007/11/1,2007,11,6652081,280102,0 
2007/12/1,2007,12,7283699,361038,0 
2008/1/1,2008,1,5277228,207073,0 
2008/2/1,2008,2,5810999,229314,0 
2008/3/1,2008,3,6426730,244889,0 
2008/4/1,2008,4,6370791,260205,0 
2008/5/1,2008,5,5811690,254397,0 
2008/6/1,2008,6,6061939,268921,0 
2008/7/1,2008,7,6794176,318672,0 
2008/8/1,2008,8,5562176,253399,0 
2008/9/1,2008,9,6079007,261937,0 
2008/10/1,2008,10,6408825,266266,0 
2008/11/1,2008,11,5818078,272448,0 
2008/12/1,2008,12,6748732,391400,0 
2009/1/1,2009,1,4748705,219210,0 
2009/2/1,2009,2,4717739,229458,0 
2009/3/1,2009,3,5526081,247567,0 
2009/4/1,2009,4,5616000,241802,0 
2009/5/1,2009,5,4867963,232571,0 
2009/6/1,2009,6,5528630,256508,0 
2009/7/1,2009,7,6046458,294382,0 
2009/8/1,2009,8,5104261,241817,0 
2009/9/1,2009,9,5555769,243061,0 
2009/10/1,2009,10,6178744,247640,0 
2009/11/1,2009,11,6050900,270246,0 
2009/12/1,2009,12,7032421,373514,0 
2010/1/1,2010,1,5051341,223997,0 
2010/2/1,2010,2,5310876,233832,0 
2010/3/1,2010,3,6369408,255847,0 
2010/4/1,2010,4,5897429,252078,0 
2010/5/1,2010,5,5067009,239665,0 
2010/6/1,2010,6,5705853,257629,0 
2010/7/1,2010,7,5898707,305224,0 
2010/8/1,2010,8,5243940,251411,0 
2010/9/1,2010,9,5523589,243679,0 
2010/10/1,2010,10,5642530,255897,0 
2010/11/1,2010,11,5933150,282964,0 
2010/12/1,2010,12,6582530,387869,0 
2011/1/1,2011,1,4845507,234495,0 
2011/2/1,2011,2,5130619,240274,0 
2011/3/1,2011,3,5766816,247002,0 
2011/4/1,2011,4,5500301,262832,0 
2011/5/1,2011,5,4902445,253808,0 
2011/6/1,2011,6,5510280,274715,0 
2011/7/1,2011,7,5746980,316442,0 
2011/8/1,2011,8,5339147,265862,0 
2011/9/1,2011,9,5420928,258355,0 
2011/10/1,2011,10,5639320,269610,0 
2011/11/1,2011,11,5792068,289295,0 
2011/12/1,2011,12,6440358,401312,0 
2012/1/1,2012,1,4772582,248651,0 
2012/2/1,2012,2,5235753,252829,0 
2012/3/1,2012,3,5944862,271230,0 
2012/4/1,2012,4,5621263,278237,0 
2012/5/1,2012,5,5261971,266023,0 
2012/6/1,2012,6,5433161,289393,0 
2012/7/1,2012,7,5865552,328105,0 
2012/8/1,2012,8,5292005,270554,0 
2012/9/1,2012,9,5259765,267143,0 
2012/10/1,2012,10,5868428,282047,0 
2012/11/1,2012,11,5710016,314418,0 
2012/12/1,2012,12,6406121,409118,0 
2013/1/1,2013,1,4829940,244334,0 
2013/2/1,2013,2,4745933,261339,0 
2013/3/1,2013,3,5543687,273382,0 
2013/4/1,2013,4,5528234,284550,0 
2013/5/1,2013,5,5138803,273725,0 
2013/6/1,2013,6,5106723,289153,0 
2013/7/1,2013,7,5886271,335000,0 
2013/8/1,2013,8,5008637,274574,0 
2013/9/1,2013,9,5194439,274118,0 
2013/10/1,2013,10,5776999,284217,0 
2013/11/1,2013,11,5710016,314418,0 
2013/12/1,2013,12,6116617,416713,0 
2014/1/1,2014,1,4918131,256658,0 
2014/2/1,2014,2,5142128,264951,0 
2014/3/1,2014,3,6101874,304463,0 
2014/4/1,2014,4,5321667,277649,0 
2014/5/1,2014,5,4907755,273412,0 
2014/6/1,2014,6,5119536,292438,0 
2014/7/1,2014,7,5699693,329521,0 
2014/8/1,2014,8,5354671,271764,0 
2014/9/1,2014,9,5274112,281335,0 
2014/10/1,2014,10,5624019,288306,0 
2014/11/1,2014,11,5248881,304774,0 
2014/12/1,2014,12,6180231,415938,0 
2015/1/1,2015,1,4728675,258318,0 
2015/2/1,2015,2,4812178,265789,0 
2015/3/1,2015,3,5601338,287882,0 
2015/4/1,2015,4,5427968,285248,0 
2015/5/1,2015,5,4692879,277385,0 
2015/6/1,2015,6,5289893,303955,0 
2015/7/1,2015,7,5724606,340242,0 
2015/8/1,2015,8,4820532,289224,0 
2015/9/1,2015,9,5167866,287586,0 
2015/10/1,2015,10,5582381,298916,0 
2015/11/1,2015,11,5389483,320873,0 
2015/12/1,2015,12,6146633,421454,0 
2016/1/1,2016,1,4635633,274211,0 
2016/2/1,2016,2,4988019,282622,0 
2016/3/1,2016,3,5761231,304583,0 
2016/4/1,2016,4,5495523,304646,0 
2016/5/1,2016,5,4881087,292068,0 
2016/6/1,2016,6,5397505,313516,0 
2016/7/1,2016,7,5637231,352903,0 
2016/8/1,2016,8,5164129,300197,0 
2016/9/1,2016,9,5371027,300582,0 
2016/10/1,2016,10,5498887,328404,0 
