label,year,month,Transport_tonnage,number_parcels
2022/8/1,2022,8,205879 ,373849 
2022/9/1,2022,9,219767 ,377958 
2022/10/1,2022,10,225008 ,369116 
2022/11/1,2022,11,221691 ,408134 
2022/12/1,2022,12,215771 ,507793 
2023/1/1,2023,1,198164 ,355527 
2023/2/1,2023,2,207690 ,333087 
2023/3/1,2023,3,217138 ,400495 
2023/4/1,2023,4,208474 ,362509 
2023/5/1,2023,5,191690 ,363986 
2023/6/1,2023,6,207666 ,390408 
2023/7/1,2023,7,222870 ,419172 
2023/8/1,2023,8,196140 ,357576 
2023/9/1,2023,9,210784 ,369995 
2023/10/1,2023,10,222972 ,382954 
2023/11/1,2023,11,216823 ,402416 
2023/12/1,2023,12,221529 ,491507 
2024/1/1,2024,1,193400 ,348749 
2024/2/1,2024,2,202835 ,344158 
2024/3/1,2024,3,216875 ,392055 
2024/4/1,2024,4,215403 ,369921 
2024/5/1,2024,5,199372 ,369040 
2024/6/1,2024,6,220391 ,385156 
2024/7/1,2024,7,225219 ,435858 
2024/8/1,2024,8,186729 ,359160 
2024/9/1,2024,9,222180 ,378182 
2024/10/1,2024,10,208662 ,391902 
2024/11/1,2024,11,214478 ,405113 
2024/12/1,2024,12,215921 ,510879 
2025/1/1,2025,1,195247 ,363963 
2025/2/1,2025,2,187803 ,339708 
2025/3/1,2025,3,218071 ,405146 
2025/4/1,2025,4,209073 ,376949 
2025/5/1,2025,5,195809 ,373507 
2025/6/1,2025,6,203901 ,402767 
2025/7/1,2025,7,212599 ,445789 
2025/8/1,2025,8,191747 ,362592 
2025/9/1,2025,9,204439 ,392671 
2025/10/1,2025,10,204844 ,405217 
2025/11/1,2025,11,208550 ,409319 
2025/12/1,2025,12,224966 ,510426 
2026/1/1,2026,1,191865 ,380997 
2026/2/1,2026,2,203458 ,349832 
