config_id,model,split,forecast_type,information_set,spec_name,target_col,status,error,input_size,hidden_size,max_steps,n_head,encoder_layers,decoder_layers,conv_hidden_size,moving_avg_window,random_seed,training_time_seconds,total_time_seconds,rmse,mae,mape,mase,version_neuralforecast,version_pytorch_lightning,version_torch,version_ray_stub_used
8,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,24,32,200,2,1,1,32,13,42,6.3934706000145525,6.456061300006695,21538.48330968511,17628.141836597704,4.605024368847595,1.40948196223582,3.1.9,2.5.6,2.12.1+cpu,True
7,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,24,32,100,2,1,1,32,13,42,4.510368800023571,4.578971000039019,24499.125450840267,20538.44389493149,5.329754421083155,1.6421791060359152,3.1.9,2.5.6,2.12.1+cpu,True
10,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,36,16,200,2,1,1,16,13,42,4.878858599928208,4.940612999955192,29776.912216990575,25738.92687283682,6.756766770286683,2.0579907678784712,3.1.9,2.5.6,2.12.1+cpu,True
9,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,36,16,100,2,1,1,16,13,42,3.974624600028619,4.05112930003088,31034.88630056481,26192.461348664823,6.877185364798856,2.094253731318243,3.1.9,2.5.6,2.12.1+cpu,True
11,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,36,32,100,2,1,1,32,13,42,4.859222099999897,4.907565199886449,32781.94230167877,25466.477985902322,6.751075756294191,2.0362067480240276,3.1.9,2.5.6,2.12.1+cpu,True
5,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,24,16,100,2,1,1,16,13,42,2.3609787999885157,2.4312221000436693,32929.37335895951,24639.602782267488,6.262311559686054,1.9700928209098405,3.1.9,2.5.6,2.12.1+cpu,True
6,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,24,16,200,2,1,1,16,13,42,2.25396549992729,2.313944600056857,32929.37335895951,24639.602782267488,6.262311559686054,1.9700928209098405,3.1.9,2.5.6,2.12.1+cpu,True
12,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,36,32,200,2,1,1,32,13,42,7.169313700054772,7.2467226999579,33025.81213624995,25416.671525950973,6.747553132562693,2.0322244050434133,3.1.9,2.5.6,2.12.1+cpu,True
3,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,12,32,100,2,1,1,32,13,42,3.258251399965957,3.3231299000326544,34462.90110587256,24094.164482303335,5.863462592040243,1.9264815627047374,3.1.9,2.5.6,2.12.1+cpu,True
4,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,12,32,200,2,1,1,32,13,42,3.0505085999611765,3.1149397999979556,34462.90110587256,24094.164482303335,5.863462592040243,1.9264815627047374,3.1.9,2.5.6,2.12.1+cpu,True
1,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,12,16,100,2,1,1,16,13,42,1.7338320000562817,1.8102003000676632,39327.71501335936,28565.419746356725,6.987895184988904,2.283986834766444,3.1.9,2.5.6,2.12.1+cpu,True
2,autoformer_neuralforecast,fixed_b,unconditional,unconditional,neuralforecast_autoformer_grid,y,success,,12,16,200,2,1,1,16,13,42,1.7445783999282867,1.8043215000070632,39327.71501335936,28565.419746356725,6.987895184988904,2.283986834766444,3.1.9,2.5.6,2.12.1+cpu,True
