period,split,model,forecast_type,information_set,spec_name,n,rmse,mae,mape,mase
covid_2022,covid_one_year,ssm_conditional_baseline_m4,conditional,conditional_exog_known,baseline_m4,12,20198.946515601754,15534.025093073753,3.763062232670998,1.2584783910372006
covid_2022,covid_one_year,ssm_fixed_slope,conditional,conditional_exog_known,fixed_slope_m4,12,20201.15833406003,15531.768513701036,3.762322504843813,1.2582955758066852
covid_2022,covid_one_year,seasonal_naive,unconditional,unconditional,seasonal_naive,12,19902.5388455845,14161.333333333334,3.4893742736308297,1.147270709393993
covid_after_first_year_2021,covid_one_year,ssm_conditional_baseline_m4,conditional,conditional_exog_known,baseline_m4,10,13483.335300408948,11083.846802971011,2.689878261286518,0.8979502484082638
covid_after_first_year_2021,covid_one_year,ssm_fixed_slope,conditional,conditional_exog_known,fixed_slope_m4,10,13486.767833430056,11086.832176105167,2.6905285354273856,0.8981921063656191
covid_after_first_year_2021,covid_one_year,seasonal_naive,unconditional,unconditional,seasonal_naive,10,18922.71213119303,13545.2,3.316194571542615,1.0973550898844397
post_stat_change_period,covid_one_year,ssm_conditional_baseline_m4,conditional,conditional_exog_known,baseline_m4,10,22734.51986381287,19558.253066972666,5.086678642282322,1.5844984608784225
post_stat_change_period,covid_one_year,ssm_fixed_slope,conditional,conditional_exog_known,fixed_slope_m4,10,22761.043883873244,19583.253015292186,5.093384816497889,1.5865238145487466
post_stat_change_period,covid_one_year,seasonal_naive,unconditional,unconditional,seasonal_naive,10,15542.193760856284,13725.1,3.5933838501119473,1.1119295650247263
pre_reclassification_2023,covid_one_year,ssm_conditional_baseline_m4,conditional,conditional_exog_known,baseline_m4,5,21283.535493523494,19180.823457199916,5.409320926898227,1.553921259850957
pre_reclassification_2023,covid_one_year,ssm_fixed_slope,conditional,conditional_exog_known,fixed_slope_m4,5,21313.809757540883,19202.84278366994,5.415745058608492,1.5557051404859945
pre_reclassification_2023,covid_one_year,seasonal_naive,unconditional,unconditional,seasonal_naive,5,18832.108761368174,16738.0,4.512093539423509,1.3560175925409557
