split,model,forecast_type,information_set,spec_name,rmse,mae,mape,mase,rmse_rank_within_split,mape_rank_within_split,mase_rank_within_split,rmse_rank_within_information_set,mape_rank_within_information_set,mase_rank_within_information_set,source_file,notes
fixed_a,sarimax_grid_best,conditional,conditional_exog_known,baseline_m4,29828.573653014184,26984.723325397365,6.782755935853907,2.4919389450493066,2.0,2.0,2.0,1.0,1.0,1.0,sarimax_grid_best_models.csv,Small SARIMAX order grid best by converged RMSE; conditional forecast with test-period baseline_m4 exogenous dummies known.
fixed_a,ssm_conditional,conditional,conditional_exog_known,baseline_m4,30857.609559888475,27827.594522938038,7.017863915056753,2.5697749686944005,3.0,3.0,3.0,2.0,2.0,2.0,ssm_metrics.csv,Main-analysis SSM; conditional forecast with test-period baseline_m4 exogenous dummies known.
fixed_a,sarimax_fixed,conditional,conditional_exog_known,baseline_m4,33985.764338302455,31233.125826496904,7.829297026643291,2.8842631322967938,4.0,4.0,4.0,3.0,3.0,3.0,sarimax_metrics.csv,Fixed-order SARIMAX; conditional forecast with test-period baseline_m4 exogenous dummies known.
fixed_a,prophet,unconditional,unconditional,prophet_no_regressors,27498.76581751593,24252.68521769565,6.245448086035096,2.2396453759122417,1.0,1.0,1.0,1.0,1.0,1.0,prophet_metrics.csv,Prophet on log scale; no holidays and no regressors.
fixed_a,sarima_grid_best,unconditional,unconditional,none,40578.64025135272,38202.37167065145,9.594779257345486,3.527847093757181,5.0,5.0,5.0,2.0,2.0,2.0,sarimax_grid_best_models.csv,Small SARIMA order grid best by converged RMSE; no exogenous variables.
fixed_a,sarima_fixed,unconditional,unconditional,none,41548.02366038151,39180.56563695841,9.84023783911612,3.6181796723446498,6.0,6.0,6.0,3.0,3.0,3.0,sarimax_metrics.csv,Fixed-order SARIMA; no exogenous variables.
fixed_a,seasonal_naive,unconditional,unconditional,baseline_m4,44753.89193783412,41456.25,10.335366267033397,3.828330668614668,7.0,7.0,7.0,4.0,4.0,4.0,naive_metrics.csv,Seasonal naive baseline; no exogenous variables; recursive for horizons beyond 12 months.
fixed_a,naive,unconditional,unconditional,baseline_m4,80656.77450572063,75560.83333333333,20.088095208858984,6.977762233585563,8.0,8.0,8.0,5.0,5.0,5.0,naive_metrics.csv,Naive baseline; no exogenous variables.
fixed_b,sarimax_grid_best,conditional,conditional_exog_known,baseline_m4,7975.062045642783,6701.292188555835,1.709269980857646,0.5358108954984582,1.0,1.0,1.0,1.0,1.0,1.0,sarimax_grid_best_models.csv,Small SARIMAX order grid best by converged RMSE; conditional forecast with test-period baseline_m4 exogenous dummies known.
fixed_b,ssm_conditional,conditional,conditional_exog_known,baseline_m4,8112.663937320837,6756.339866520137,1.7185000574545857,0.5402123071658279,2.0,2.0,2.0,2.0,2.0,2.0,ssm_metrics.csv,Main-analysis SSM; conditional forecast with test-period baseline_m4 exogenous dummies known.
fixed_b,sarimax_fixed,conditional,conditional_exog_known,baseline_m4,8196.974613395452,6873.290431963203,1.758243618863584,0.549563248064378,3.0,3.0,3.0,3.0,3.0,3.0,sarimax_metrics.csv,Fixed-order SARIMAX; conditional forecast with test-period baseline_m4 exogenous dummies known.
fixed_b,prophet_regressors,conditional,conditional_exog_known,baseline_m4,17877.060334135716,13052.30911587842,3.201742217725325,1.0436150579502872,7.0,6.0,6.0,4.0,4.0,4.0,prophet_regressors_metrics.csv,Prophet with baseline_m4 regressors; conditional forecast; fixed B only; holidays???weekly/daily seasonality??.
fixed_b,autoformer_neuralforecast_exog,conditional,conditional_exog_known,neuralforecast_autoformer_exog_baseline_m4,23967.15292140436,19986.69744948927,4.951847843731123,1.5980634715131654,9.0,10.0,10.0,5.0,5.0,5.0,autoformer_neuralforecast_exog_metrics.csv,NeuralForecast Autoformer with baseline_m4 future exogenous dummies; conditional forecast; fixed B only.
fixed_b,seasonal_naive,unconditional,unconditional,post2020_m5,13622.783591073843,11619.923076923076,2.9067611824609183,0.92908669168343,4.0,4.0,4.0,1.0,1.0,1.0,naive_metrics.csv,Seasonal naive baseline; no exogenous variables; recursive for horizons beyond 12 months.
fixed_b,sarima_grid_best,unconditional,unconditional,none,14790.762992482596,12236.132613014448,3.071175199038649,0.9783565599502786,5.0,5.0,5.0,2.0,2.0,2.0,sarimax_grid_best_models.csv,Small SARIMA order grid best by converged RMSE; no exogenous variables.
fixed_b,sarima_fixed,unconditional,unconditional,none,16686.6807776141,13964.593736378032,3.502203438321347,1.116558010698138,6.0,7.0,7.0,3.0,3.0,3.0,sarimax_metrics.csv,Fixed-order SARIMA; no exogenous variables.
fixed_b,autoformer_neuralforecast_grid_best,unconditional,unconditional,neuralforecast_autoformer_grid,21538.48330968511,17628.141836597704,4.605024368847595,1.40948196223582,8.0,8.0,8.0,4.0,4.0,4.0,autoformer_neuralforecast_best_metrics.csv,NeuralForecast Autoformer library baseline; small manual grid best; no exogenous variables; fixed B only.
fixed_b,prophet,unconditional,unconditional,prophet_no_regressors,26730.003402591406,19845.06637077212,4.8342690677170905,1.5867391667399091,10.0,9.0,9.0,5.0,5.0,5.0,prophet_metrics.csv,Prophet on log scale; no holidays and no regressors.
fixed_b,autoformer_lite,unconditional,unconditional,autoformer_lite_univariate,35587.38942265155,32410.636313106665,8.536475959327985,2.591436334660553,11.0,11.0,11.0,6.0,6.0,6.0,autoformer_lite_metrics.csv,"Autoformer-inspired / decomposition Transformer baseline, not a strict Autoformer; no exogenous variables; fixed B only; reference baseline for small monthly sample."
fixed_b,naive,unconditional,unconditional,post2020_m5,107649.95395189982,101796.46153846152,27.058498838943883,8.139273990864721,12.0,12.0,12.0,7.0,7.0,7.0,naive_metrics.csv,Naive baseline; no exogenous variables.
