model,split,order,seasonal_order,spec_name,used_exog_columns,converged,warnflag,log_likelihood,aic,bic,rmse,mae,mape,mase,status,error
sarima,fixed_a,"(0, 1, 1)","(0, 1, 1, 12)",none,,True,0,401.1346741614399,-796.2693483228798,-786.5921083017402,40642.2337977636,38295.20827700123,9.633435317764615,3.5364202094456223,success,
sarima,fixed_a,"(0, 1, 1)","(1, 1, 0, 12)",none,,True,0,397.59631012474495,-789.1926202494899,-779.483294361,46282.41315302121,43547.0803589659,10.893183912873099,4.021411084380681,success,
sarima,fixed_a,"(0, 1, 1)","(1, 1, 1, 12)",none,,True,0,400.90508484023087,-793.8101696804617,-780.907182985609,40578.64025135272,38202.37167065145,9.594779257345486,3.527847093757181,success,
sarima,fixed_a,"(1, 1, 0)","(0, 1, 1, 12)",none,,True,0,392.29078212049274,-778.5815642409855,-768.8882383904217,47751.30206217128,45533.88565493767,11.4627915819376,4.204885172054669,success,
sarima,fixed_a,"(1, 1, 0)","(1, 1, 0, 12)",none,,False,2,386.24527880439246,-766.4905576087849,-756.7972317582212,49566.18776142406,46873.208147937454,11.736748729754174,4.32856662841207,success,ConvergenceWarning
sarima,fixed_a,"(1, 1, 0)","(1, 1, 1, 12)",none,,True,0,392.8251068457654,-777.6502136915308,-764.7257792241124,47190.79312780987,44925.613903269834,11.29082069421673,4.148713535648532,success,
sarima,fixed_a,"(1, 1, 1)","(0, 1, 1, 12)",none,,True,0,401.5926876307418,-795.1853752614836,-782.2823885666309,41578.635369549105,39245.41301240677,9.872975549105337,3.624168086545358,success,
sarima,fixed_a,"(1, 1, 1)","(1, 1, 0, 12)",none,,True,0,396.9077085738372,-785.8154171476745,-772.8909826802561,47000.04626027093,44263.26853189947,11.073858832661553,4.087548401357993,success,
sarima,fixed_a,"(1, 1, 1)","(1, 1, 1, 12)",none,,True,0,401.43813860792915,-792.8762772158583,-776.7475438472923,41548.02366038151,39180.56563695841,9.84023783911612,3.6181796723446498,success,
sarima,fixed_a,"(2, 1, 1)","(0, 1, 1, 12)",none,,True,0,402.08398020936556,-794.1679604187311,-778.0392270501651,42666.95383368153,40326.12062382844,10.142902492456551,3.7239674193989303,success,
sarima,fixed_a,"(2, 1, 1)","(1, 1, 0, 12)",none,,True,0,395.3869316170129,-780.7738632340258,-764.6451298654598,47923.8378224035,45184.2257016468,11.306091760660502,4.17259537443019,success,
sarima,fixed_a,"(2, 1, 1)","(1, 1, 1, 12)",none,,False,1,401.8975563689818,-791.7951127379636,-772.4406326956844,42467.36067169606,40089.97413070466,10.067259481550918,3.702160168093962,success,ConvergenceWarning
sarimax,fixed_a,"(0, 1, 1)","(0, 1, 1, 12)",baseline_m4,hike_dummy,True,0,402.08973759752655,-796.1794751950531,-783.2764885002003,29828.573653014184,26984.723325397365,6.782755935853907,2.4919389450493066,success,
sarimax,fixed_a,"(0, 1, 1)","(1, 1, 0, 12)",baseline_m4,hike_dummy,True,0,398.10146739534764,-788.2029347906953,-775.2571669393755,38732.79133982226,35584.890832605124,8.86668542772268,3.2861324628678945,success,
sarimax,fixed_a,"(0, 1, 1)","(1, 1, 1, 12)",baseline_m4,hike_dummy,True,0,401.3572095428833,-792.7144190857666,-776.5856857172006,32529.10739279176,29753.659775914828,7.459903158415902,2.7476399390601265,success,
sarimax,fixed_a,"(1, 1, 0)","(0, 1, 1, 12)",baseline_m4,hike_dummy,True,0,393.00546345163514,-778.0109269032703,-765.0864924358519,36923.31493583801,34243.73471822092,8.603515607010126,3.1622816783879397,success,
sarimax,fixed_a,"(1, 1, 0)","(1, 1, 0, 12)",baseline_m4,hike_dummy,True,0,386.49018515157314,-764.9803703031463,-752.055935835728,44154.62529469807,41191.27168566774,10.28997935722213,3.8038609057375146,success,
sarimax,fixed_a,"(1, 1, 0)","(1, 1, 1, 12)",baseline_m4,hike_dummy,True,0,393.016747609463,-776.033495218926,-759.877952134653,41410.2487991898,38952.98901523758,9.779343504588239,3.5971638168248288,success,
sarimax,fixed_a,"(1, 1, 1)","(0, 1, 1, 12)",baseline_m4,hike_dummy,True,0,402.53297443290256,-795.0659488658051,-778.9372154972391,31018.170932607532,28166.617847745525,7.075506699007894,2.601082513195802,success,
sarimax,fixed_a,"(1, 1, 1)","(1, 1, 0, 12)",baseline_m4,hike_dummy,True,0,397.380380563568,-784.760761127136,-768.605218042863,40012.35058655451,36900.16361977093,9.199515280625652,3.407593018241358,success,
sarimax,fixed_a,"(1, 1, 1)","(1, 1, 1, 12)",baseline_m4,hike_dummy,False,1,401.85018257274703,-791.7003651454941,-772.3458851032149,33985.764338302455,31233.125826496904,7.829297026643291,2.8842631322967938,success,ConvergenceWarning
sarimax,fixed_a,"(2, 1, 1)","(0, 1, 1, 12)",baseline_m4,hike_dummy,True,0,402.9892480435582,-793.9784960871164,-774.6240160448372,32342.951277078235,29489.246603282936,7.403235870005729,2.7232223649193785,success,
sarimax,fixed_a,"(2, 1, 1)","(1, 1, 0, 12)",baseline_m4,hike_dummy,True,0,395.78936227763324,-779.5787245552665,-760.2242445129873,41718.077996155844,38649.287120230474,9.641974274279457,3.569118075138784,success,
sarimax,fixed_a,"(2, 1, 1)","(1, 1, 1, 12)",baseline_m4,hike_dummy,True,0,402.2870661652066,-790.5741323304132,-767.9939056144208,35410.51250441934,32690.41162602288,8.194632241831755,3.018838061752833,success,
sarima,fixed_b,"(0, 1, 1)","(0, 1, 1, 12)",none,,True,0,496.5848697872684,-987.1697395745368,-976.8037762284637,15125.50675295988,12516.448126514184,3.14154871739373,1.0007695665890433,success,
sarima,fixed_b,"(0, 1, 1)","(1, 1, 0, 12)",none,,True,0,492.9686766382236,-979.9373532764472,-969.5458578613703,24880.144073293435,21690.137101552067,5.444283730508615,1.734264296625381,success,
sarima,fixed_b,"(0, 1, 1)","(1, 1, 1, 12)",none,,True,0,496.32226102237564,-984.6445220447513,-970.8232375833205,16711.41840087501,13960.415919708188,3.5002572793467515,1.1162239677064114,success,
sarima,fixed_b,"(1, 1, 0)","(0, 1, 1, 12)",none,,True,0,490.72926351689506,-975.4585270337901,-965.0797704913576,19183.290290521803,16382.58328563461,4.121037483324667,1.3098916408755568,success,
sarima,fixed_b,"(1, 1, 0)","(1, 1, 0, 12)",none,,True,0,484.27567730485146,-962.5513546097029,-952.1725980672704,29052.92213015794,25456.372443649885,6.3997367929645,2.0353987457027705,success,
sarima,fixed_b,"(1, 1, 0)","(1, 1, 1, 12)",none,,True,0,490.7201197352653,-973.4402394705306,-959.601897413954,21052.464630437476,18094.330687594003,4.546416589248291,1.4467567233856626,success,
sarima,fixed_b,"(1, 1, 1)","(0, 1, 1, 12)",none,,True,0,497.219407454114,-986.438814908228,-972.6175304467972,14968.331301280305,12398.07736537489,3.1129311100574486,0.991305072019594,success,
sarima,fixed_b,"(1, 1, 1)","(1, 1, 0, 12)",none,,True,0,492.35762124929084,-976.7152424985817,-962.8769004420051,24850.163737039013,21694.965455067944,5.446235993061646,1.7346503541719454,success,
sarima,fixed_b,"(1, 1, 1)","(1, 1, 1, 12)",none,,True,0,497.00215749774065,-984.0043149954813,-966.7277094186928,16686.6807776141,13964.593736378032,3.502203438321347,1.1165580106981379,success,
sarima,fixed_b,"(2, 1, 1)","(0, 1, 1, 12)",none,,True,0,497.3830859604123,-984.7661719208246,-967.4895663440361,14790.762992482596,12236.132613014448,3.071175199038649,0.9783565599502786,success,
sarima,fixed_b,"(2, 1, 1)","(1, 1, 0, 12)",none,,True,0,490.6347284118435,-971.269456823687,-953.9928512468986,24174.643681382575,21117.531563117234,5.299584157824363,1.6884808450635915,success,
sarima,fixed_b,"(2, 1, 1)","(1, 1, 1, 12)",none,,True,0,497.2517479479774,-982.5034958959548,-961.7715692038086,16587.75379943903,13875.4482838396,3.4787680446810056,1.1094302652708001,success,
sarimax,fixed_b,"(0, 1, 1)","(0, 1, 1, 12)",baseline_m4,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",True,0,507.68036998771254,-999.3607399754251,-971.7181710525634,7975.062045642783,6701.292188555835,1.709269980857646,0.5358108954984582,success,
sarimax,fixed_b,"(0, 1, 1)","(1, 1, 0, 12)",baseline_m4,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",True,0,502.7943067979533,-989.5886135959066,-961.8779591557018,9738.117068624038,8596.047164255482,2.203230433745996,0.6873085964961183,success,
sarimax,fixed_b,"(0, 1, 1)","(1, 1, 1, 12)",baseline_m4,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",False,1,507.1201349431068,-996.2402698862136,-965.1423798479942,8077.212690481996,6758.537371238801,1.7260272551926161,0.5403880116326739,success,ConvergenceWarning
sarimax,fixed_b,"(1, 1, 0)","(0, 1, 1, 12)",baseline_m4,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",True,0,497.60355708211455,-979.2071141642291,-951.5304300510759,16972.94512329568,14487.8747112199,3.6647708879606404,1.1583976499554958,success,
sarimax,fixed_b,"(1, 1, 0)","(1, 1, 0, 12)",baseline_m4,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",False,2,490.68032069898044,-965.3606413979609,-937.6839572848075,22421.223797363113,19696.27757050903,4.963659533027645,1.5748425566435378,success,ConvergenceWarning
sarimax,fixed_b,"(1, 1, 0)","(1, 1, 1, 12)",baseline_m4,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",False,1,497.5690073319337,-977.1380146638674,-946.0017450365699,17517.503130311918,15058.941357794653,3.8023551983661092,1.2040580573338018,success,ConvergenceWarning
sarimax,fixed_b,"(1, 1, 1)","(0, 1, 1, 12)",baseline_m4,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",False,1,508.24582333802346,-998.4916466760469,-967.3937566378276,8080.426609285021,6823.876448851725,1.7423239627933553,0.5456122861012028,success,ConvergenceWarning
sarimax,fixed_b,"(1, 1, 1)","(1, 1, 0, 12)",baseline_m4,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",False,1,502.11006622880865,-986.2201324576173,-955.0838628303198,10607.671164235659,9277.40174288251,2.3692515362392674,0.7417872248940242,success,ConvergenceWarning
sarimax,fixed_b,"(1, 1, 1)","(1, 1, 1, 12)",baseline_m4,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",False,1,507.7462270094531,-995.4924540189062,-960.9392428653292,8196.974613395452,6873.290431963203,1.758243618863584,0.549563248064378,success,ConvergenceWarning
sarimax,fixed_b,"(2, 1, 1)","(0, 1, 1, 12)",baseline_m4,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",False,1,508.3586311988458,-996.7172623976916,-962.1640512441146,8012.335925323242,6761.754047087557,1.7258215323671797,0.5406452053079466,success,ConvergenceWarning
sarimax,fixed_b,"(2, 1, 1)","(1, 1, 0, 12)",baseline_m4,"hike_dummy,covid_main,covid_wave1,covid_2021,post_stat_change",False,1,500.2577638176937,-980.5155276353873,-945.9623164818104,10313.982926272167,9048.110544367042,2.3106527328600057,0.7234539364849175,success,ConvergenceWarning
