model_id,covid_main_end,parameter,estimate,std_error,z_value,p_value
M1,2021-12-01,obs_error,0.0002208848115287587,3.799394655155334e-05,5.81368432545021,6.111260999249742e-09
M1,2021-12-01,level_noise,8.612880748364329e-05,2.022519799472885e-05,4.258490201484823,2.058122393084814e-05
M1,2021-12-01,slope_noise,1.8068147880121485e-11,1.9556672237292216e-08,0.0009238866234955713,0.999262845232049
M1,2021-12-01,seasonal_noise,5.548295038920937e-05,1.4524404353835661e-05,3.819981118506744,0.00013346189033644094
M1,2021-12-01,hike_effect,-0.027398279441417976,0.027002479301410906,-1.014657918467005,0.3102689202208272
M1,2021-12-01,covid_main_effect,0.004449558002955249,0.012180587028666524,0.3652991430120234,0.7148881180492472
M1,2021-12-01,covid_wave1_effect,0.058132429455549806,0.013944779162200893,4.168759417368558,3.062620477442726e-05
M1,2021-12-01,covid_2021_effect,0.015950828254808,0.013463556285654358,1.1847410829933451,0.2361198336382213
M1,2021-12-01,post_stat_change_effect,-0.0431809191726035,0.025973777468178298,-1.6624812938936773,0.0964163109754303
M2,2022-03-01,obs_error,0.00022021623690402238,3.6846119850106774e-05,5.976646599421628,2.2777758081482608e-09
M2,2022-03-01,level_noise,8.521882180695565e-05,2.011454821836995e-05,4.236675906502744,2.2685320906538038e-05
M2,2022-03-01,slope_noise,1.9185730994452602e-11,2.231792068043775e-08,0.0008596558464906368,0.9993140939569629
M2,2022-03-01,seasonal_noise,5.402487375508242e-05,1.4073113125882508e-05,3.838871561099214,0.0001236010622154575
M2,2022-03-01,hike_effect,-0.02530077206708171,0.027815200855871698,-0.9096023501027785,0.3630322587715006
M2,2022-03-01,covid_main_effect,0.03429391804297519,0.01989934329852878,1.7233693357866058,0.08482175648578258
M2,2022-03-01,covid_wave1_effect,0.04352675913616797,0.016210531324229515,2.6850914547822073,0.007250996217563766
M2,2022-03-01,covid_2021_effect,0.017387402408751564,0.012910687143754743,1.3467449265209972,0.1780623975313843
M2,2022-03-01,post_stat_change_effect,-0.00951938582108338,0.020294858961995538,-0.4690540515166687,0.6390310012321292
M2b,2022-06-01,obs_error,0.0002354916053860911,3.700990647068182e-05,6.362934355768793,1.97935300606701e-10
M2b,2022-06-01,level_noise,7.457176928514641e-05,1.7959418801556797e-05,4.152237336248444,3.29240545151159e-05
M2b,2022-06-01,slope_noise,2.4127633898256858e-11,1.8715823533539956e-08,0.0012891569454594714,0.9989714018616751
M2b,2022-06-01,seasonal_noise,5.224437760462049e-05,1.3802246571095026e-05,3.785208251099631,0.00015357991480660985
M2b,2022-06-01,hike_effect,-0.022125369049028103,0.027662668767837097,-0.7998277112999627,0.423810625207913
M2b,2022-06-01,covid_main_effect,0.03637486297381008,0.02224238680274057,1.635384875571366,0.10196839094521765
M2b,2022-06-01,covid_wave1_effect,0.04976569824442696,0.0194247102008552,2.5619789294069344,0.010407763254301195
M2b,2022-06-01,covid_2021_effect,0.015982774870392284,0.012586332785454728,1.26985160354751,0.2041374950866296
M2b,2022-06-01,post_stat_change_effect,-0.02124087357431224,0.025918431072470674,-0.8195277528535779,0.4124853745079994
M3,2022-12-01,obs_error,0.0002282799366884552,3.6834155137134306e-05,6.197507064803424,5.736446464169556e-10
M3,2022-12-01,level_noise,7.422600156010669e-05,1.7713279409270255e-05,4.190415554629623,2.784440300976618e-05
M3,2022-12-01,slope_noise,1.908267696836652e-11,1.7661616006397494e-08,0.0010804604154826083,0.9991379174836595
M3,2022-12-01,seasonal_noise,5.626759932557751e-05,1.4572836581960812e-05,3.8611288206737417,0.00011286437372396776
M3,2022-12-01,hike_effect,-0.022240625602107836,0.027262919361770773,-0.8157829800609904,0.41462426931464635
M3,2022-12-01,covid_main_effect,0.03032672856491718,0.017017400630932555,1.7821011106591826,0.07473274473504794
M3,2022-12-01,covid_wave1_effect,0.049956068661078455,0.01705030474988082,2.929922332410372,0.0033904673478204403
M3,2022-12-01,covid_2021_effect,0.014791092463898868,0.012360153335802761,1.196675483066588,0.2314330666115868
M3,2022-12-01,post_stat_change_effect,-0.042179278619391525,0.024703107925295502,-1.7074482590184843,0.08773876703574765
M4,2023-05-01,obs_error,0.0002341109619547798,3.708878673308839e-05,6.312176336194897,2.751384641630091e-10
M4,2023-05-01,level_noise,7.401868762114502e-05,1.7884438538942753e-05,4.138720232115303,3.4924851952647996e-05
M4,2023-05-01,slope_noise,2.2557076995295782e-11,1.7689956573017713e-08,0.0012751346732926315,0.9989825900069481
M4,2023-05-01,seasonal_noise,5.3641002053270724e-05,1.4074875165581031e-05,3.8111174289094554,0.0001383400268784194
M4,2023-05-01,hike_effect,-0.02335148933503511,0.027214488020211442,-0.8580535969551443,0.39086286870848663
M4,2023-05-01,covid_main_effect,0.030466732231971393,0.018647935067185838,1.6337858386037984,0.102303826889623
M4,2023-05-01,covid_wave1_effect,0.05119620831621677,0.01787218820097796,2.864574149538965,0.00417570378966491
M4,2023-05-01,covid_2021_effect,0.016179667443964294,0.012626633851806483,1.2813919872753323,0.20005601716767896
M4,2023-05-01,post_stat_change_effect,-0.04529940717668249,0.024642147041797124,-1.8382897845649269,0.06601971559161303
M5,None,obs_error,0.00023149598121412654,3.681165859659564e-05,6.288659355205891,3.2021925455300845e-10
M5,None,level_noise,7.272762424886467e-05,1.7634672721583457e-05,4.124126679133192,3.721440467549414e-05
M5,None,slope_noise,2.3501749244469525e-11,1.9259614429339932e-08,0.001220260630382463,0.9990263731244898
