model_id,parameter,variable,estimate,std_error,p_value,approx_percent
baseline_m4,obs_noise,obs_noise,0.0002341109619547798,3.708878673308839e-05,2.751384641630091e-10,
baseline_m4,level_noise,level_noise,7.401868762114502e-05,1.7884438538942753e-05,3.4924851952647996e-05,
baseline_m4,slope_noise,slope_noise,2.2557076995295782e-11,1.7689956573017713e-08,0.9989825900069481,
baseline_m4,seasonal_noise,seasonal_noise,5.3641002053270724e-05,1.4074875165581031e-05,0.0001383400268784194,
baseline_m4,hike_dummy_effect,hike_dummy,-0.02335148933503511,0.027214488020211442,0.39086286870848663,-0.023080953206545463
baseline_m4,covid_main_effect,covid_main,0.030466732231971393,0.018647935067185838,0.102303826889623,0.030935592552137958
baseline_m4,covid_wave1_effect,covid_wave1,0.05119620831621677,0.01787218820097796,0.00417570378966491,0.05252938804354357
baseline_m4,covid_2021_effect,covid_2021,0.016179667443964294,0.012626633851806483,0.20005601716767896,0.0163112670512382
baseline_m4,post_stat_change_effect,post_stat_change,-0.04529940717668249,0.024642147041797124,0.06601971559161303,-0.04428870782809413
baseline_m4_recent_hike_2023,obs_noise,obs_noise,0.000232599968339974,3.714237753332876e-05,3.791268893757998e-10,
baseline_m4_recent_hike_2023,level_noise,level_noise,7.435721153223167e-05,1.7889084501409848e-05,3.2306283269519697e-05,
baseline_m4_recent_hike_2023,slope_noise,slope_noise,2.5108148829684674e-11,1.725366059730814e-08,0.9988388900362487,
baseline_m4_recent_hike_2023,seasonal_noise,seasonal_noise,5.390152337456826e-05,1.4127135275079973e-05,0.0001359293261500054,
baseline_m4_recent_hike_2023,hike_dummy_effect,hike_dummy,-0.023594478287161255,0.02719730643031498,0.38565170102056356,-0.023318304903949927
baseline_m4_recent_hike_2023,covid_main_effect,covid_main,0.02752677506895362,0.019622695106749157,0.16067559969361256,0.027909137076822965
baseline_m4_recent_hike_2023,covid_wave1_effect,covid_wave1,0.05165089850873887,0.017290843144978828,0.0028156188198448008,0.05300807165175225
baseline_m4_recent_hike_2023,covid_2021_effect,covid_2021,0.016047666086364768,0.012692684542409302,0.2061137476112077,0.016177121438139874
baseline_m4_recent_hike_2023,post_stat_change_effect,post_stat_change,-0.04588718009560935,0.024466367227300924,0.06072111375085289,-0.04485028398814839
baseline_m4_recent_hike_2023,recent_hike_2023_step_effect,recent_hike_2023_step,-0.01052049628467553,0.04959251961875338,0.8319987711821251,-0.010465349423847359
baseline_m4_recent_hike_2024,obs_noise,obs_noise,0.00023382723753101453,3.717294681250801e-05,3.1694913075727804e-10,
baseline_m4_recent_hike_2024,level_noise,level_noise,7.451111770650877e-05,1.802498306235532e-05,3.568620364755404e-05,
baseline_m4_recent_hike_2024,slope_noise,slope_noise,2.182556099107567e-11,1.803616631153341e-08,0.9990344802994842,
baseline_m4_recent_hike_2024,seasonal_noise,seasonal_noise,5.36694595803366e-05,1.4100328323891929e-05,0.00014108633645700842,
baseline_m4_recent_hike_2024,hike_dummy_effect,hike_dummy,-0.023182138120390904,0.027316228593576023,0.39607157844379903,-0.022915496769633115
baseline_m4_recent_hike_2024,covid_main_effect,covid_main,0.03064299983061341,0.019119572278603537,0.10900019489347527,0.03111732911005438
baseline_m4_recent_hike_2024,covid_wave1_effect,covid_wave1,0.05127014796695856,0.018011509174084783,0.004419974553710006,0.052607214576088746
baseline_m4_recent_hike_2024,covid_2021_effect,covid_2021,0.01624678566764354,0.012682732549291044,0.2001879812026338,0.01637948234740705
baseline_m4_recent_hike_2024,post_stat_change_effect,post_stat_change,-0.044531472389886084,0.02493535048254787,0.07411915318092553,-0.04355450200568689
baseline_m4_recent_hike_2024,recent_hike_2024_step_effect,recent_hike_2024_step,0.003091506082897181,0.028018856013440462,0.9121424099290883,0.003096289716100875
baseline_m4_recent_hike_2023_2024,obs_noise,obs_noise,0.00023314730730949446,3.718457000181266e-05,3.61044775697446e-10,
baseline_m4_recent_hike_2023_2024,level_noise,level_noise,7.497025583739781e-05,1.8060851090618378e-05,3.310527607645609e-05,
baseline_m4_recent_hike_2023_2024,slope_noise,slope_noise,2.3216584399953837e-11,1.767286151118775e-08,0.9989518308109017,
baseline_m4_recent_hike_2023_2024,seasonal_noise,seasonal_noise,5.3286799025484e-05,1.3986221791449831e-05,0.000138995168010464,
baseline_m4_recent_hike_2023_2024,hike_dummy_effect,hike_dummy,-0.02418882386356225,0.027195368525704394,0.3737631931494845,-0.02389861887837752
baseline_m4_recent_hike_2023_2024,covid_main_effect,covid_main,0.027627555306041673,0.02002077037660229,0.16760368238900103,0.028012735223597707
baseline_m4_recent_hike_2023_2024,covid_wave1_effect,covid_wave1,0.051919687997292206,0.017523372283013046,0.0030477317171617555,0.053291147194934885
baseline_m4_recent_hike_2023_2024,covid_2021_effect,covid_2021,0.015988007348147593,0.01270314053238336,0.20817955027034918,0.016116499401604978
baseline_m4_recent_hike_2023_2024,post_stat_change_effect,post_stat_change,-0.0452006392401516,0.02473568065278452,0.06764781072612105,-0.04419430953416148
baseline_m4_recent_hike_2023_2024,recent_hike_2023_step_effect,recent_hike_2023_step,-0.008853982263048519,0.04769466070096548,0.8527279802622337,-0.008814901188191282
baseline_m4_recent_hike_2023_2024,recent_hike_2024_step_effect,recent_hike_2024_step,0.0014108057072932938,0.02927234026938478,0.9615601470430444,0.0014118013618351632
